time,position_x,position_y,position_z,ground_station_distance,comm_range_status,wind_speed,wind_angle,battery_voltage,battery_current,velocity_x,velocity_y,velocity_z,velocity_total,acceleration_x,acceleration_y,acceleration_z,acceleration_total,angular_x,angular_y,angular_z,orientation_w,orientation_x,orientation_y,orientation_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
0.0,-67.15804004701788,33.811600630593276,269.3324017,279.6307731378107,0,7.693324017,180.0,11.032666899575,18.977746723333333,-2.8414919128749716e-05,-0.008320561612471522,0.012359152323995204,0.028315028377323092,-0.0013717338084973114,-0.08398559997893079,0.2606566705736669,0.23078252558931123,2623432398089341.5,0.0,-22185337113993.2,0.6231260438523867,0.3328067770368076,0.3316721745003052,-0.6252576679205822,-0.0013717338084973114,-0.08398559997893079,0.2606566705736669
0.2,-67.1580457300017,33.80993651827078,269.3348735304648,279.6329540903825,0,7.733346068691314,180.59998222238025,11.032666281617383,18.97782911768216,-2.8414919128749716e-05,-0.008320561612471522,0.012359152323995204,0.028315028377323092,-0.0013717338084973114,-0.08398559997893079,0.2606566705736669,0.23078252558931123,2623432398089341.5,0.0,-22185337113993.2,0.6231260438523867,0.3328067770368076,0.3316721745003052,-0.6252576679205822,-0.0013717338084973114,-0.08398559997893079,0.2606566705736669
0.3,-67.1580622888317,33.808264606109745,269.3387160124029,279.6364569030247,0,7.753378160529021,180.89994000119998,11.032665320996898,18.97795720041343,-0.00016558829997848082,-0.0167191216103646,0.03842481938136189,0.028315028377323092,-0.0013717338084973114,-0.08398559997893079,0.2606566705736669,0.23078252558931123,2623432398089341.5,0.0,-22185337113993.2,0.5884602445784554,0.3895366208797318,0.3856977054949094,-0.5943172902753435,-0.0013717338084973114,-0.08398559997893079,0.2606566705736669
0.5,-67.1580899931431,33.8065849709793,269.3430996973098,279.6404827514824,0,7.793389335514455,181.4997222376539,11.032664225075672,18.97810332324366,-0.00013852155696270074,-0.008398175652217788,0.0219184245344195,0.028315028377323092,0.00013533371507890038,0.041604729790734055,-0.08253197423471195,0.23078252558931123,2623432398089341.5,0.0,-22185337113993.2,0.5778063379188373,0.4039667512637475,0.3973585730440828,-0.5874154102188727,0.00013533371507890038,0.041604729790734055,-0.08253197423471195
0.6,-67.15812859232807,33.80489763991887,269.3474454367244,279.64447375866075,0,7.813402467326133,181.79952003839853,11.03266313864082,18.978248181224146,-0.00038599184975396394,-0.016873310604310635,0.043457394145889346,0.03542284281651517,-0.0024747029279126326,-0.0847513495209285,0.2153896961146985,0.23078252558931123,2623432398089341.5,0.0,-22185337113993.2,0.576818840007249,0.4039062247899151,0.39477218339508463,-0.5901649859201474,-0.0024747029279126326,-0.0847513495209285,0.2153896961146985
0.81,-67.15817833553567,33.80320270013737,269.35001968225174,279.64676027618054,0,7.855323107926513,182.42881919217493,11.032662495079437,18.97833398940839,-0.00023687241713062003,-0.00807114181667213,0.012258312034960212,0.028808374159063503,0.0007100925363016374,0.04191508946494525,-0.14856705767109105,0.22603388085187182,2623432398089341.5,0.0,-22185337113993.2,0.6133140289028842,0.34026071236858085,0.33042122119938383,-0.6315776802187091,0.0007100925363016374,0.04191508946494525,-0.14856705767109105
0.9,-67.1582389816718,33.80150010901238,269.35422728558433,279.6506217217354,0,7.873299371251866,182.698380291575,11.032661443178604,18.978474242852812,-0.0006738459570480398,-0.01891767916654254,0.04675114813987119,0.028264936503021733,-0.004855261554637999,-0.12051708166522682,0.383253734499011,0.24012107564017518,2623432398089341.5,0.0,-22185337113993.2,0.5758358871047314,0.402160542386444,0.38809066689146554,-0.5967122954502325,-0.004855261554637999,-0.12051708166522682,0.383253734499011
1.1,-67.15831075939931,33.79978997408932,269.3537903985242,279.65001145789483,0,7.913094505659592,183.29704301743396,11.032661552400368,18.97845967995081,-0.0003588886375638366,-0.008550674615293016,-0.0021844353005917574,0.023788802717262157,0.0015747865974210158,0.05183502275624761,-0.24467791720231466,0.20778308888364333,2717264808709080.0,0.0,-11117486669014.459,0.6867254973491129,-0.08995512120346345,-0.08625872745186917,-0.7161533351163478,0.0015747865974210158,0.05183502275624761,-0.24467791720231466
1.2,-67.15839354713805,33.798072303080666,269.35495257300516,279.65094312525105,0,7.93297394030789,183.59616122861277,11.032661261856749,18.97849841910017,-0.0008278773873371403,-0.017176710086559435,0.01162174480953128,0.024787903411920685,-0.004689887497733043,-0.0862603547126643,0.13806180110123056,0.2088602818777816,2717264808709080.0,0.0,-11117486669014.459,0.6596413125738574,0.21196638258135864,0.20199615479218533,-0.69220022020394,-0.004689887497733043,-0.0862603547126643,0.13806180110123056
1.4,-67.15848725306476,33.796347103865024,269.359482061114,279.6551198600101,0,7.972681049899613,184.19390487759242,11.032660129484722,18.978649402037135,-0.00046852963357935107,-0.008625996078208688,0.022647440544290024,0.017262290438005676,0.0017967387687889465,0.042753570041753744,0.05512847867379373,0.13714285645902968,2717264808709080.0,0.0,-11117486669014.459,0.5663104641242311,0.41185884550025265,0.3900954103512041,-0.5979049426368063,0.0017967387687889465,0.042753570041753744,0.05512847867379373
